"","EXPSAMPLE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"391","ES717916",703261,"PUBLIC REPOSITORY"
"392","ES717917",703261,"PUBLIC REPOSITORY"
"393","ES717918",703261,"PUBLIC REPOSITORY"
"394","ES717919",703261,"PUBLIC REPOSITORY"
"395","ES717920",703261,"PUBLIC REPOSITORY"
"396","ES717921",703261,"PUBLIC REPOSITORY"
"397","ES717922",703261,"PUBLIC REPOSITORY"
"398","ES717923",703261,"PUBLIC REPOSITORY"
"399","ES717924",703261,"PUBLIC REPOSITORY"
"400","ES717925",703261,"PUBLIC REPOSITORY"
"401","ES717926",703261,"PUBLIC REPOSITORY"
"402","ES717927",703261,"PUBLIC REPOSITORY"
"403","ES717928",703261,"PUBLIC REPOSITORY"
"404","ES717929",703261,"PUBLIC REPOSITORY"
"405","ES717930",703261,"PUBLIC REPOSITORY"
"406","ES717931",703261,"PUBLIC REPOSITORY"
"407","ES717932",703261,"PUBLIC REPOSITORY"
"408","ES717933",703261,"PUBLIC REPOSITORY"
"409","ES717934",703261,"PUBLIC REPOSITORY"
"410","ES717935",703261,"PUBLIC REPOSITORY"
"411","ES717936",703261,"PUBLIC REPOSITORY"
"412","ES717937",703261,"PUBLIC REPOSITORY"
"413","ES717938",703261,"PUBLIC REPOSITORY"
"414","ES717939",703261,"PUBLIC REPOSITORY"
"415","ES717940",703261,"PUBLIC REPOSITORY"
"416","ES717941",703261,"PUBLIC REPOSITORY"
"417","ES717942",703261,"PUBLIC REPOSITORY"
"418","ES717943",703261,"PUBLIC REPOSITORY"
"419","ES717944",703261,"PUBLIC REPOSITORY"
"420","ES717945",703261,"PUBLIC REPOSITORY"
"421","ES717946",703261,"PUBLIC REPOSITORY"
"422","ES717947",703261,"PUBLIC REPOSITORY"
"423","ES717948",703261,"PUBLIC REPOSITORY"
"424","ES717949",703261,"PUBLIC REPOSITORY"
"425","ES717950",703261,"PUBLIC REPOSITORY"
"426","ES717951",703261,"PUBLIC REPOSITORY"
"427","ES717952",703261,"PUBLIC REPOSITORY"
"428","ES717953",703261,"PUBLIC REPOSITORY"
"429","ES717954",703261,"PUBLIC REPOSITORY"
"430","ES717955",703261,"PUBLIC REPOSITORY"
"431","ES717956",703261,"PUBLIC REPOSITORY"
"432","ES717957",703261,"PUBLIC REPOSITORY"
"433","ES717958",703261,"PUBLIC REPOSITORY"
"434","ES717959",703261,"PUBLIC REPOSITORY"
"435","ES717960",703261,"PUBLIC REPOSITORY"
"436","ES717961",703261,"PUBLIC REPOSITORY"
"437","ES717962",703261,"PUBLIC REPOSITORY"
"438","ES717963",703261,"PUBLIC REPOSITORY"
"439","ES717964",703261,"PUBLIC REPOSITORY"
"440","ES717965",703261,"PUBLIC REPOSITORY"
"441","ES717966",703261,"PUBLIC REPOSITORY"
"442","ES717967",703261,"PUBLIC REPOSITORY"
"443","ES717968",703261,"PUBLIC REPOSITORY"
"444","ES717969",703261,"PUBLIC REPOSITORY"
"445","ES717970",703261,"PUBLIC REPOSITORY"
"446","ES717971",703261,"PUBLIC REPOSITORY"
"447","ES717972",703261,"PUBLIC REPOSITORY"
"448","ES717973",703261,"PUBLIC REPOSITORY"
"449","ES717974",703261,"PUBLIC REPOSITORY"
"450","ES717975",703261,"PUBLIC REPOSITORY"
"451","ES717976",703261,"PUBLIC REPOSITORY"
"452","ES717977",703261,"PUBLIC REPOSITORY"
"453","ES717978",703261,"PUBLIC REPOSITORY"
"454","ES717979",703261,"PUBLIC REPOSITORY"
"455","ES717980",703261,"PUBLIC REPOSITORY"
"456","ES717981",703261,"PUBLIC REPOSITORY"
"457","ES717982",703261,"PUBLIC REPOSITORY"
"458","ES717983",703261,"PUBLIC REPOSITORY"
"459","ES717984",703261,"PUBLIC REPOSITORY"
"460","ES717985",703261,"PUBLIC REPOSITORY"
"461","ES717986",703261,"PUBLIC REPOSITORY"
